run,signal,time_s,value
5 m/s,distance,0.0,52.26631457369161
5 m/s,distance,0.041864,52.26631457369161
5 m/s,distance,0.083891,52.24123702448078
5 m/s,distance,0.125713,52.21550869132915
5 m/s,distance,0.167696,52.1643723085515
5 m/s,distance,0.209649,52.09534618606996
5 m/s,distance,0.252975,52.033631763221734
5 m/s,distance,0.29356,52.00629888359923
5 m/s,distance,0.881705,51.70135837200508
5 m/s,distance,0.924966,51.67322415897379
5 m/s,distance,0.966873,51.64497500628758
5 m/s,distance,1.006547,51.617510336887676
5 m/s,distance,1.048616,51.58855517578439
5 m/s,distance,1.090486,51.56084736914619
5 m/s,distance,1.132375,51.533126940439644
5 m/s,distance,1.174378,51.50414037034591
5 m/s,distance,1.216325,51.47478355262867
5 m/s,distance,1.258279,51.44572245554885
5 m/s,distance,1.845456,50.95146463173955
5 m/s,distance,1.887386,50.92520660045064
5 m/s,distance,1.930773,50.89803615904951
5 m/s,distance,1.971226,50.87200912011053
5 m/s,distance,2.013204,50.844684578056956
5 m/s,distance,2.055327,50.81775722870566
5 m/s,distance,2.10129,50.789691097469934
5 m/s,distance,2.14409,50.763537027743936
5 m/s,distance,2.181378,50.74001683262994
5 m/s,distance,2.228536,50.710270884865125
5 m/s,distance,2.264819,50.68797205840554
5 m/s,distance,2.857538,50.4594001406556
5 m/s,distance,2.894027,50.44237187728907
5 m/s,distance,2.935982,50.422792684495214
5 m/s,distance,2.977836,50.40340477004069
5 m/s,distance,3.019758,50.38401511572918
5 m/s,distance,3.061686,50.36544722815067
5 m/s,distance,3.103662,50.34789727804587
5 m/s,distance,3.145655,50.330349472200375
5 m/s,distance,3.187653,50.31294521060012
5 m/s,distance,3.229474,50.2956142604701
5 m/s,distance,3.271623,50.27930259938978
5 m/s,distance,3.858829,50.09647338851434
5 m/s,distance,3.900645,50.08796345760189
5 m/s,distance,3.94394,50.07917237862859
5 m/s,distance,3.984566,50.07189761935566
5 m/s,distance,4.026481,50.06439206307438
5 m/s,distance,4.068406,50.05795949330678
5 m/s,distance,4.110361,50.05223054927949
5 m/s,distance,4.152309,50.04675881576235
5 m/s,distance,4.194264,50.04220082386728
5 m/s,distance,4.236161,50.037649152011895
5 m/s,distance,4.278068,50.03449878061165
5 m/s,distance,4.86616,50.05648315963652
5 m/s,distance,4.908097,50.0631387062112
5 m/s,distance,4.95018,50.07016217779552
5 m/s,distance,4.992204,50.07888562143065
5 m/s,distance,5.034142,50.08759114919852
5 m/s,distance,5.076167,50.09727318298528
5 m/s,distance,5.117363,50.107019718117684
5 m/s,distance,5.159154,50.11787862249613
5 m/s,distance,5.201128,50.13035381623839
5 m/s,distance,5.242975,50.1427913117962
5 m/s,distance,5.284973,50.15663454811857
5 m/s,distance,5.872775,50.439983201500084
5 m/s,distance,5.914748,50.46591875638364
5 m/s,distance,5.956622,50.49289408639656
5 m/s,distance,5.998558,50.522228230137586
5 m/s,distance,6.040512,50.55157504867293
5 m/s,distance,6.082485,50.58173157392174
5 m/s,distance,6.123709,50.61140185000939
5 m/s,distance,6.165552,50.64348399251231
5 m/s,distance,6.207506,50.677358568438805
5 m/s,distance,6.249709,50.71163715584647
5 m/s,distance,6.292545,50.74754517502348
5 m/s,distance,6.878669,51.35220161554655
5 m/s,distance,6.920589,51.400454270019516
5 m/s,distance,6.962548,51.450372194369514
5 m/s,distance,7.004495,51.502156651274184
5 m/s,distance,7.04649,51.55389413319116
5 m/s,distance,7.088382,51.6042882588271
5 m/s,distance,7.130296,51.654709057581826
5 m/s,distance,7.172295,51.706605034714435
5 m/s,distance,7.214173,51.758953514660774
5 m/s,distance,7.25607,51.81111534453889
5 m/s,distance,7.843389,52.4095272070151
5 m/s,distance,7.885262,52.44729447165542
5 m/s,distance,7.927197,52.48511786206197
5 m/s,distance,7.96907,52.521985305039664
5 m/s,distance,8.011026,52.5583721825366
5 m/s,distance,8.054261,52.594574354517725
5 m/s,distance,8.096925,52.62661665083103
5 m/s,distance,8.136919,52.656653807944494
5 m/s,distance,8.178878,52.68682057662168
5 m/s,distance,8.220941,52.71682772945767
5 m/s,distance,8.262697,52.744474359987684
5 m/s,distance,8.849961,53.002303609546075
5 m/s,distance,8.891791,53.00953661276582
5 m/s,distance,8.935466,53.01708862206665
5 m/s,distance,8.975762,53.02219254141826
5 m/s,distance,9.017665,53.02704501025874
5 m/s,distance,9.05959,53.03095514208774
5 m/s,distance,9.101611,53.033409529175444
5 m/s,distance,9.143519,53.035837144486806
5 m/s,distance,9.185521,53.03612891773296
5 m/s,distance,9.22753,53.03642073900928
5 m/s,distance,9.269524,53.03580401715517
5 m/s,distance,9.856859,53.05738929367252
5 m/s,distance,9.898548,53.04872525437313
5 m/s,distance,9.9405,53.04000656190001
5 m/s,distance,9.983845,53.030069231097066
5 m/s,distance,10.025797,53.020393204152136
5 m/s,distance,10.066362,53.01081985254478
5 m/s,distance,10.108154,53.00079000999866
5 m/s,distance,10.150105,52.9905292044919
5 m/s,distance,10.192072,52.97929774601471
5 m/s,distance,10.234008,52.96807464622394
5 m/s,distance,10.276104,52.957076946169664
5 m/s,distance,10.86315,52.806249304238314
5 m/s,distance,10.905156,52.79711134418223
5 m/s,distance,10.947083,52.787991416393254
5 m/s,distance,10.989122,52.778854886344945
5 m/s,distance,11.030983,52.7697570631615
5 m/s,distance,11.072872,52.761288397054166
5 m/s,distance,11.114884,52.75305495811437
5 m/s,distance,11.156794,52.74459723849465
5 m/s,distance,11.198704,52.73563470785321
5 m/s,distance,11.240667,52.72666080725943
5 m/s,distance,11.283818,52.71765471152965
5 m/s,distance,11.869761,52.60207274295065
5 m/s,distance,11.911809,52.59529196373178
5 m/s,distance,11.953786,52.58861525724496
5 m/s,distance,11.995878,52.582192987542356
5 m/s,distance,12.045214,52.574753388399174
5 m/s,distance,12.07968,52.57094650111413
5 m/s,distance,12.12143,52.566335080009836
5 m/s,distance,12.163474,52.561388212503005
5 m/s,distance,12.205292,52.55614656430632
5 m/s,distance,12.252779,52.550360888970275
5 m/s,distance,12.289255,52.54641806822236
5 m/s,distance,12.876437,52.501827300099954
5 m/s,distance,12.918374,52.49962822377807
5 m/s,distance,12.960365,52.49747817673072
5 m/s,distance,13.007805,52.49513326877774
5 m/s,distance,13.044391,52.49333486644769
5 m/s,distance,13.086222,52.491598269954935
5 m/s,distance,13.13213,52.48969242033297
5 m/s,distance,13.170149,52.48857059651926
5 m/s,distance,13.211957,52.487541269628885
5 m/s,distance,13.253942,52.48646489663722
5 m/s,distance,13.841267,52.47732613664766
5 m/s,distance,13.884496,52.47704919674434
5 m/s,distance,13.926441,52.47679270529777
5 m/s,distance,13.967043,52.476347805105966
5 m/s,distance,14.008929,52.47574731812543
5 m/s,distance,14.050772,52.47515818714219
5 m/s,distance,14.092886,52.474613614512265
5 m/s,distance,14.134728,52.474072559550414
5 m/s,distance,14.176586,52.47392378682868
5 m/s,distance,14.218648,52.473873293344944
5 m/s,distance,14.260575,52.47369409741626
5 m/s,distance,14.848679,52.472798555128286
5 m/s,distance,14.89206,52.47343936297725
5 m/s,distance,14.931777,52.47402604731618
5 m/s,distance,14.973646,52.47432150893626
5 m/s,distance,15.015559,52.474497023811374
5 m/s,distance,15.057535,52.47468828545252
5 m/s,distance,15.099423,52.474908709011906
5 m/s,distance,15.141394,52.47512956917532
5 m/s,distance,15.185242,52.475373155988564
5 m/s,distance,15.225315,52.475596254295525
5 m/s,distance,15.270084,52.47594961210371
5 m/s,distance,15.854454,52.47463518230063
5 m/s,distance,15.896359,52.47280216326672
5 m/s,distance,15.938396,52.47096337703764
5 m/s,distance,15.981709,52.468378116704564
5 m/s,distance,16.023744,52.46578692689842
5 m/s,distance,16.066503,52.46241715281194
5 m/s,distance,16.10845,52.458514321208646
5 m/s,distance,16.150077,52.454376895098875
5 m/s,distance,16.190432,52.449087028977424
5 m/s,distance,16.232308,52.44359777052191
5 m/s,distance,16.274251,52.437163840992596
5 m/s,distance,16.861126,52.2466031505733
5 m/s,distance,16.903623,52.22375576641376
5 m/s,distance,16.945938,52.20072568183549
5 m/s,distance,16.987876,52.17399380638628
5 m/s,distance,17.029812,52.147263298677316
5 m/s,distance,17.071775,52.120190494685644
5 m/s,distance,17.113745,52.09296216616475
5 m/s,distance,17.155706,52.0651187163786
5 m/s,distance,17.196794,52.036434259942176
5 m/s,distance,17.239542,52.00659084061274
5 m/s,distance,17.282781,51.97750533171995
5 m/s,distance,17.867735,51.57003999431311
5 m/s,distance,17.909645,51.540653727948055
5 m/s,distance,17.951669,51.51087291361874
5 m/s,distance,17.993523,51.47998510177707
5 m/s,distance,18.035508,51.449000516992875
5 m/s,distance,18.077429,51.41965226001063
5 m/s,distance,18.119435,51.390598067652604
5 m/s,distance,18.16191,51.36044665258928
5 m/s,distance,18.212754,51.323187486906335
5 m/s,distance,18.245517,51.29925012090282
5 m/s,distance,18.287169,51.26997859317427
5 m/s,distance,18.875334,50.8528407813125
5 m/s,distance,18.91737,50.8253311615666
5 m/s,distance,18.959203,50.797751157371
5 m/s,distance,19.001163,50.76976061871881
5 m/s,distance,19.043145,50.741756393404536
