run,signal,time_s,value
1ms,distance,0.0,52.940887040563915
1ms,distance,0.041909,52.94044819627724
1ms,distance,0.08394,52.94000807374756
1ms,distance,0.126236,52.93936820200079
1ms,distance,0.168848,52.938622245612265
1ms,distance,0.209662,52.93768833628709
1ms,distance,0.251615,52.93614834341872
1ms,distance,0.293493,52.93461109861535
1ms,distance,0.33562,52.93360053452247
1ms,distance,0.377572,52.932661858944286
1ms,distance,0.419654,52.931756434660514
1ms,distance,1.006426,52.914512585509954
1ms,distance,1.048366,52.91193660948499
1ms,distance,1.090371,52.90935663570292
1ms,distance,1.133214,52.905802018358564
1ms,distance,1.174192,52.902203591989306
1ms,distance,1.216166,52.89813736710751
1ms,distance,1.257599,52.89362007735656
1ms,distance,1.300106,52.888897119477114
1ms,distance,1.342699,52.8822364522728
1ms,distance,1.384576,52.875687748166946
1ms,distance,1.428166,52.86806605056055
1ms,distance,2.012644,52.6979036640975
1ms,distance,2.054333,52.683025613819055
1ms,distance,2.096549,52.66795943519976
1ms,distance,2.139009,52.652503877379715
1ms,distance,2.18098,52.63721395751762
1ms,distance,2.223067,52.62236849574767
1ms,distance,2.265482,52.60774818532298
1ms,distance,2.306818,52.59329240807936
1ms,distance,2.348831,52.577794919332696
1ms,distance,2.3907,52.56235063790372
1ms,distance,2.432745,52.54780732939128
1ms,distance,3.022415,52.338926797645705
1ms,distance,3.061164,52.32495720209383
1ms,distance,3.103091,52.309866299036955
1ms,distance,3.145656,52.29473452474058
1ms,distance,3.187473,52.27986871830269
1ms,distance,3.240244,52.26205516621859
1ms,distance,3.270882,52.2518536927926
1ms,distance,3.312672,52.23779719289306
1ms,distance,3.355154,52.223234944584654
1ms,distance,3.397466,52.208730885772354
1ms,distance,3.439405,52.19494314731064
1ms,distance,4.029152,52.00217644500638
1ms,distance,4.071215,51.98921541700445
1ms,distance,4.110668,51.97662615138749
1ms,distance,4.152184,51.96238968686589
1ms,distance,4.206493,51.94410820195095
1ms,distance,4.235621,51.935326133287155
1ms,distance,4.27738,51.922735753193166
1ms,distance,4.3199,51.90978519546718
1ms,distance,4.362244,51.89676290917567
1ms,distance,4.404095,51.88394030536833
1ms,distance,4.446062,51.87137814166454
1ms,distance,5.032437,51.70953247465518
1ms,distance,5.075174,51.69850123640546
1ms,distance,5.117921,51.68700516046428
1ms,distance,5.159081,51.675414523629975
1ms,distance,5.20101,51.66367241170466
1ms,distance,5.242939,51.65284905396906
1ms,distance,5.284925,51.642010987155935
1ms,distance,5.328243,51.63056448806064
1ms,distance,5.370931,51.61916878447666
1ms,distance,5.410243,51.6088566554881
